Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
0.0;0.2857142857142857;1.0;0.0;1.0;0.0;0.32499999999999996;0.0;0.4186046511627907;0.2558139534883721;0.30303030303030304;0.5454545454545454;0.4957789716039904;1.0;0.0;0.0;1.0;1.0;0.0;0.17647058823529416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;0
0.0;0.25;0.2857142857142857;0.5429457364341088;1.0;0.0;0.9583333333333333;0.0;0.0;0.046511627906976744;0.18181818181818182;0.18181818181818182;0.7290867229470448;1.0;0.0;0.0;0.0;1.0;0.0;0.11764705882352944;0.0;0.0;0.5;0.375;0.5714285714285714;0.7417218543046358;0.0;0.0;0.5;0.375;0.5;0.7358974358974358;0.0;0.7325581395348838;0.11111111111111112;0.6406869220607662;1
0.0;0.0;1.0;0.42883720930232627;1.0;0.0;0.32499999999999996;0.0;0.8372093023255813;0.8372093023255813;0.5454545454545454;0.5454545454545454;0.4574059861857249;1.0;0.0;0.0;0.0;1.0;0.0;0.11764705882352944;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;0
0.0;0.2857142857142857;0.5714285714285714;0.8648062015503877;1.0;0.0;0.32499999999999996;0.0;0.8604651162790697;0.8372093023255813;0.30303030303030304;0.18181818181818182;0.37759017651573257;1.0;0.0;0.0;1.0;0.0;0.0;0.17647058823529416;0.0;0.0;0.5;0.5;0.5714285714285714;0.7114474929044465;0.0;0.0;0.5;0.625;0.41666666666666663;0.6676923076923077;0.0;0.2093023255813954;0.0;0.12417437252311753;1
0.0;0.6785714285714285;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.8372093023255813;0.8604651162790697;0.5454545454545454;0.5454545454545454;0.713737528779739;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.5;0.5625;0.47619047619047616;0.6534216335540839;0.0;0.0;0.5;0.375;0.5;0.7;0.0;0.7325581395348838;0.11111111111111112;0.6406869220607662;1
0.0;0.6785714285714285;0.2857142857142857;1.0;0.0;0.0;0.51;0.0;0.8372093023255813;0.8372093023255813;0.5454545454545454;0.42424242424242425;0.3039140445126629;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.375;0.625;0.47619047619047616;0.6281929990539262;0.0;0.0;0.375;1.0;0.41666666666666663;0.6192307692307691;0.0;0.9999999999999999;0.24444444444444446;0.4147952443857331;1
0.0;0.0;0.2857142857142857;0.6955038759689929;1.0;0.0;0.6583333333333334;0.0;0.4186046511627907;0.8604651162790697;0.42424242424242425;0.6060606060606061;0.5126630851880274;1.0;0.0;0.0;1.0;0.0;1.0;0.05882352941176472;0.0;0.0;0.625;0.5625;0.6666666666666666;0.704635761589404;0.0;0.0;0.75;0.5;0.6666666666666666;0.7724230769230769;0.0;0.9186046511627907;0.7999999999999999;0.0;1
0.0;0.30357142857142855;1.0;0.5429457364341088;1.0;0.0;0.27500000000000013;0.0;0.8372093023255813;0.8372093023255813;0.5454545454545454;0.5454545454545454;0.27782041442824235;1.0;0.0;0.0;0.0;1.0;0.0;0.2941176470588236;0.0;0.0;0.375;0.3125;0.0;0.0;0.0;0.0;0.375;0.3125;0.0;0.0;0.0;0.9186046511627907;0.7999999999999999;0.0;0
0.0;0.0;0.8571428571428571;0.533023255813954;1.0;0.0;0.575;0.0;0.0;0.0;0.5454545454545454;0.5454545454545454;0.5264773599386032;0.0;0.0;0.0;1.0;0.0;1.0;0.23529411764705888;0.0;0.0;0.5;0.5;0.5714285714285714;0.7350993377483444;0.0;0.0;0.5;0.4375;0.5;0.7615384615384615;0.0;0.9999999999999999;0.24444444444444446;0.4147952443857331;1
0.0;0.0;0.2857142857142857;0.533023255813954;1.0;0.0;0.5916666666666666;0.0;0.0;0.4186046511627907;0.24242424242424243;0.42424242424242425;0.4297774366845739;1.0;0.0;1.0;0.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.5;0.5625;0.47619047619047616;0.6039735099337749;0.0;0.0;0.5;0.875;0.16666666666666666;0.7269230769230769;0.0;0.15116279069767458;0.4888888888888888;1.0;0
0.0;0.0;0.2857142857142857;0.80093023255814;1.0;0.0;0.6083333333333332;0.0;0.8604651162790697;0.4186046511627907;0.30303030303030304;0.42424242424242425;0.5464313123561009;1.0;0.0;0.0;1.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.5;0.375;0.5714285714285714;0.6534216335540839;0.0;0.0;0.5;0.4375;0.41666666666666663;0.7646153846153845;0.0;0.7325581395348838;0.11111111111111112;0.6406869220607662;1
0.0;0.0;0.2857142857142857;0.6955038759689929;1.0;0.0;0.5583333333333333;0.0;0.4186046511627907;0.8604651162790697;0.5454545454545454;0.5454545454545454;0.37298541826554077;1.0;0.0;0.0;1.0;0.0;1.0;0.05882352941176472;0.0;0.0;0.75;0.5;0.6666666666666666;0.7000946073793756;0.0;0.0;0.75;0.5;0.5833333333333333;0.7115384615384615;0.0;0.5930232558139535;1.0;0.3117569352708058;1
0.0;0.0;0.5714285714285714;0.9144186046511633;1.0;0.0;0.5083333333333335;0.0;0.4186046511627907;0.8372093023255813;0.24242424242424243;0.5454545454545454;0.5402916346891784;1.0;0.0;0.0;1.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.5;0.375;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5930232558139535;1.0;0.3117569352708058;0
0.0;0.9285714285714285;0.2857142857142857;0.5429457364341088;1.0;0.0;0.125;0.0;0.0;0.0;0.24242424242424243;0.42424242424242425;0.25786646201074426;1.0;0.0;0.0;1.0;0.0;1.0;0.23529411764705888;0.0;0.0;0.5;0.4375;0.5714285714285714;0.5600756859035004;0.0;0.0;0.5;0.5;0.41666666666666663;0.5923076923076923;0.0;0.15116279069767458;0.4888888888888888;1.0;1
0.0;0.0;0.2857142857142857;0.4381395348837209;1.0;0.0;0.7750000000000001;0.0;0.8604651162790697;0.8372093023255813;0.30303030303030304;0.30303030303030304;0.6462010744435915;1.0;0.0;0.0;1.0;0.0;1.0;0.05882352941176472;0.0;0.0;0.375;0.4375;0.38095238095238093;0.7019867549668874;0.0;0.0;0.375;0.3125;0.41666666666666663;0.6461538461538461;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;1
0.0;0.0;0.2857142857142857;0.8648062015503877;1.0;0.0;0.40833333333333344;0.0;0.4186046511627907;0.8372093023255813;0.5454545454545454;0.18181818181818182;0.39447429009976953;1.0;0.0;0.0;1.0;0.0;0.0;0.17647058823529416;0.0;0.0;0.5;0.375;0.47619047619047616;0.6993377483443708;0.0;0.0;0.5;0.4375;0.0;0.0;0.0;0.9186046511627907;0.7999999999999999;0.0;0
0.0;0.30357142857142855;0.2857142857142857;0.533023255813954;1.0;0.0;0.575;0.0;0.4186046511627907;0.8604651162790697;0.30303030303030304;0.48484848484848486;0.6508058326937836;1.0;0.0;0.0;1.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.5;0.625;0.09523809523809523;0.6357615894039735;0.0;0.0;0.5;0.875;0.16666666666666666;0.5923076923076923;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;1
0.0;0.2857142857142857;0.5714285714285714;0.6955038759689929;1.0;0.0;0.5416666666666667;0.0;0.4186046511627907;0.0;0.30303030303030304;0.24242424242424243;0.4957789716039904;1.0;0.0;0.0;1.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.625;0.5;0.6666666666666666;0.7049668874172186;0.0;0.0;0.75;0.5;0.6666666666666666;0.7831923076923076;0.0;0.9186046511627907;0.7999999999999999;0.0;1
