Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target;Marital status_binned;Application mode_binned;Application order_binned;Course_binned;Daytime/evening attendance	_binned;Previous qualification_binned;Previous qualification (grade)_binned;Nacionality_binned;Mother's qualification_binned;Father's qualification_binned;Mother's occupation_binned;Father's occupation_binned;Admission grade_binned;Displaced_binned;Educational special needs_binned;Debtor_binned;Tuition fees up to date_binned;Gender_binned;Scholarship holder_binned;Age at enrollment_binned;International_binned;Curricular units 1st sem (credited)_binned;Curricular units 1st sem (enrolled)_binned;Curricular units 1st sem (evaluations)_binned;Curricular units 1st sem (approved)_binned;Curricular units 1st sem (grade)_binned;Curricular units 1st sem (without evaluations)_binned;Curricular units 2nd sem (credited)_binned;Curricular units 2nd sem (enrolled)_binned;Curricular units 2nd sem (evaluations)_binned;Curricular units 2nd sem (approved)_binned;Curricular units 2nd sem (grade)_binned;Curricular units 2nd sem (without evaluations)_binned;Unemployment rate_binned;Inflation rate_binned;GDP_binned;Overall_Academic_Performance;Overall_Approval_Rate;Total_Course_Load;Success_Rate;Age_Academic_Interaction;Qualification_Performance;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20
1;17;3.5;8378.5;1;1;122.0;1;19;12;5.0;9.0;127.3;1;0;0;1;1;0;20;0;0;2;0;0.0;0.0;0;0;2;0;0;0.0;0;10.8;1.4;1.74;0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;4;0.0;0.0;0.0;-6.0073226076095745;-2.258356342691979;0.5518725638519668;-0.6605362900051376;-0.19222952348943803;-0.8821494289201185;0.7445938298366631;0.8625531451064528;-1.1833173122477965;1.1754922150362752;0.12527999952433216;-0.25691411462659236;1.668159514656374;-0.09936518724722483;0.29838375511160514;1.0492434252878;-0.313053312863114;0.3568251393538074;0.02657882105371988;0.624437967800861
1;15;1.0;9254.0;1;1;160.0;1;1;3;3.0;3.0;142.5;1;0;0;0;1;0;19;0;0;6;6;6.0;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;1;0.0;1.0;1.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;3.0;4.0;0.0;0.0;2.0;1.0;3.0;4.0;0.0;4.0;1.0;3.0;13.833333333333332;6.0;12;1.0;266.0;2240.0;0.09832658567102928;-1.444427414608579;-2.5843077837030566;1.4229378466906133;2.023814295233542;0.23677274788412794;-0.4868853264514534;-0.36188065186196827;0.12896037144072847;-0.3828419870927174;-0.9809014038178948;0.04703475856293877;1.1860125381792734;-0.6413287492941971;0.26906198845312596;-1.7059491657990904;-1.7166585263340304;-0.02371450588439798;0.9515294734246088;-1.261842931046185
1;1;3.5;9070.0;1;1;122.0;1;37;37;9.0;9.0;124.8;1;0;0;0;1;0;19;0;0;6;0;0.0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;4.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;12;0.0;0.0;0.0;-4.481422275246141;-0.7219843071548452;1.8921969944074635;-1.8756802681684601;0.6049310853744734;0.8466007772536355;-1.6916931749734354;0.5088250400669605;0.04961190433303722;1.6296021281342463;-0.8798602932816892;0.9853360235003051;1.5140638498037153;-1.4282958151177667;-0.36367782967506757;-0.40018195451932476;-1.4099392127194479;-0.3608044910586365;1.0188778831618983;0.29194178839741636
1;17;2.0;9773.0;1;1;122.0;1;38;37;5.0;3.0;119.6;1;0;0;1;0;0;20;0;0;6;8;6.0;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;1;0.0;2.0;2.0;4.0;0.0;0.0;1.0;0.0;2.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;3.0;3.0;3.0;0.0;0.0;2.0;3.0;2.0;2.0;0.0;1.0;0.0;1.0;12.914285714285715;5.5;12;1.0;268.57142857142856;1638.2857142857142;0.974987267558951;-0.5168443323233014;0.5445224464620824;-0.9488706135582251;-1.543272988292958;-0.2601637885565071;-0.986958581224244;-1.223867416018747;-0.7526236006413979;-0.9822486753100931;-1.6364448233284112;-0.6247480572789673;-0.44372735686948245;-0.4682128670476402;0.32527597229764726;-0.4234230414456754;0.46310448997930936;0.7990191356701232;-0.32992273861221905;0.05882218892884766
1;39;1.0;8378.5;0;1;102.5;1;37;38;9.0;9.0;141.5;0;0;0;1;0;0;34;0;0;6;9;5.0;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;1;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;3.0;2.0;2.0;0.0;0.0;2.0;1.0;3.0;3.0;0.0;4.0;1.0;3.0;12.666666666666668;5.5;12;0.8333333333333334;419.33333333333337;1264.1666666666667;0.02331709778004824;3.355778232374212;1.0271950573436115;0.9036545195798585;-0.9249177043884892;-1.7903897353321498;1.6568999158614337;-1.438512325285967;-0.5028672596368567;1.1094226103315057;0.4495397842983066;-1.90315325492775;1.2743794153411203;-0.798790470986281;0.3125821983042478;0.1661311907737022;-0.3600115015800942;-0.530422439675822;0.4269604056699341;2.01896193933378
1;39;1.0;9991.0;0;1;133.1;1;37;37;9.0;7.0;114.8;0;0;1;1;1;0;34;0;0;5;10;5.0;11.857142857142858;0;0;5;16;5;11.5;0;16.2;0.3;-0.92;1;0.0;3.0;1.0;4.0;0.0;0.0;3.0;0.0;2.0;2.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;3.0;2.0;2.0;0.0;0.0;1.0;4.0;2.0;1.0;0.0;4.0;1.0;1.0;11.678571428571429;5.0;10;1.0;403.14285714285717;1578.1857142857143;0.23916467673962186;4.307611848717669;-0.016538872747777076;0.13124042711498915;0.08172975365003622;0.31829016289498296;0.8289914485884848;-0.8819531685273313;0.6042730792270372;-2.246157392727666;-1.2564592249124;-1.0064145630552113;1.5267699739887288;0.7720826296823023;0.5886203786862464;1.311400684712432;1.5221419517357622;-1.6129600745328059;-0.17164960919516106;-0.9561170803990818
1;1;1.0;9500.0;1;1;142.0;1;19;38;7.0;10.0;128.4;1;0;0;1;0;1;18;0;0;7;9;7.0;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;1;0.0;0.0;1.0;3.0;0.0;0.0;4.0;0.0;1.0;2.0;2.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;3.0;3.0;0.0;0.0;3.0;3.0;3.0;4.0;0.0;4.0;4.0;0.0;13.822500000000002;7.5;15;1.0;239.4;1888.6000000000001;2.36655571992654;-0.9137418889636317;1.3779086526090036;1.384197681788295;-1.0446416509914795;2.5644617251251183;0.009677840108153608;-0.10044822909086902;0.21417705082324795;0.005964817231407123;0.7891427843275886;0.30885048677236243;0.04199310333063206;0.26801275422616405;0.18288173692828985;-1.0963574785976564;-0.12181054132397305;-0.7128403890372731;-0.6970454426136345;-0.31178873348611336
1;18;3.5;9254.0;1;1;119.0;1;37;37;9.0;9.0;113.1;1;0;0;0;1;0;22;0;0;5;5;0.0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;10;0.0;0.0;0.0;-4.1238951079060255;0.618945456396266;1.0895819564872906;-1.9386033931096245;-1.1430720404431987;3.204767339974435;-1.195848058876644;0.8143093214817578;-0.5986772775414516;0.4377900381554717;-0.7343423842314772;0.01854089783485613;1.65381813261753;0.003675739730645907;-0.27765863077230435;-0.2139584049240729;-1.510363811807445;0.04207752688346908;0.8302367427935805;0.1070087767686629
1;1;3.0;9238.0;1;1;137.0;1;1;1;9.0;9.0;129.3;0;0;0;1;0;1;21;0;0;6;8;6.0;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;1;0.0;0.0;2.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;3.0;3.0;4.0;0.0;0.0;2.0;2.0;3.0;4.0;0.0;4.0;1.0;1.0;14.008928571428571;6.0;12;1.0;291.375;1900.875;1.1276222019096593;-1.727474637219109;0.18430758732072083;0.7968985212281032;0.16957932682140472;1.433424638758839;2.0636214581241985;-0.7021767030944153;1.1909009756888678;0.6249834630764036;-0.05090970696220736;-0.45978310248622434;0.7182768226795602;0.5733191153444007;-1.3488772584688078;0.9859474738339554;-0.2534822903092088;0.4358498821709048;0.6159583235678117;0.2830711790471287
1;1;1.0;9238.0;1;1;138.0;1;1;19;4.0;7.0;123.0;1;0;1;0;0;0;18;0;0;6;9;5.0;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;0;0.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;2.0;1.0;0.0;0.0;2.0;4.0;1.0;3.0;0.0;1.0;3.0;4.0;12.45;3.5;12;0.8333333333333334;205.20000000000002;1573.2;0.07409326762006725;-0.4580337319867863;-0.8607011929004129;-1.7789012354623057;3.6687611965986484;0.1326555466942015;-1.3617106237743337;-0.8744708686637256;-0.12502691166926755;-1.4081268425366862;1.3306905695010107;-0.8026540315374411;-0.5850046642766006;0.10561254628625764;-0.12353845669517308;-0.5599890026747135;-0.5051931586166569;-1.0812055316072842;-0.3005983361378966;-0.5285777921017595
